"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_lbs","reps","distance_km","duration_seconds","rpe"
"Push Day!","30 Mar 2026, 13:17","30 Mar 2026, 14:03","","Squat (Barbell)",,"",2,"normal",214.99,8,,,
"Push Day!","30 Mar 2026, 13:17","30 Mar 2026, 14:03","","Bench Press (Barbell)",,"",0,"normal",130.01,8,,,
"Push Day!","30 Mar 2026, 13:17","30 Mar 2026, 14:03","","Bench Press (Barbell)",,"",1,"normal",130.01,8,,,
"Push Day!","30 Mar 2026, 13:17","30 Mar 2026, 14:03","","Bench Press (Barbell)",,"",2,"normal",130.01,5,,,
"Pull Day","25 Mar 2026, 12:05","25 Mar 2026, 13:13","","Deadlift (Barbell)",,"",0,"normal",259.99,5,,,
"Pull Day","25 Mar 2026, 12:05","25 Mar 2026, 13:13","","Deadlift (Barbell)",,"",1,"normal",259.99,5,,,
"Pull Day","25 Mar 2026, 12:05","25 Mar 2026, 13:13","","Deadlift (Barbell)",,"",2,"normal",259.99,5,,,
"Pull Day","25 Mar 2026, 12:05","25 Mar 2026, 13:13","","Deadlift (Barbell)",,"",3,"normal",259.99,5,,,
"Pull Day","25 Mar 2026, 12:05","25 Mar 2026, 13:13","","Deadlift (Barbell)",,"",4,"normal",259.99,5,,,
"Pull Day","25 Mar 2026, 12:05","25 Mar 2026, 13:13","","Overhead Press (Barbell)",,"",0,"normal",77.01,8,,,
"Pull Day","25 Mar 2026, 12:05","25 Mar 2026, 13:13","","Overhead Press (Barbell)",,"",1,"normal",77.01,8,,,
"Pull Day","25 Mar 2026, 12:05","25 Mar 2026, 13:13","","Overhead Press (Barbell)",,"",2,"normal",77.01,8,,,
"Pull Day","25 Mar 2026, 12:05","25 Mar 2026, 13:13","","Pull Up (Assisted)",,"",0,"normal",47.51,5,,,
"Pull Day","25 Mar 2026, 12:05","25 Mar 2026, 13:13","","Pull Up (Assisted)",,"",1,"normal",47.51,5,,,
"Pull Day","25 Mar 2026, 12:05","25 Mar 2026, 13:13","","Pull Up (Assisted)",,"",2,"normal",47.51,5,,,
"Push Day!","20 Mar 2026, 08:09","20 Mar 2026, 09:11","","Squat (Barbell)",,"",0,"normal",205.01,8,,,
"Push Day!","20 Mar 2026, 08:09","20 Mar 2026, 09:11","","Squat (Barbell)",,"",1,"normal",205.01,8,,,
"Push Day!","20 Mar 2026, 08:09","20 Mar 2026, 09:11","","Squat (Barbell)",,"",2,"normal",205.01,8,,,
"Push Day!","20 Mar 2026, 08:09","20 Mar 2026, 09:11","","Bench Press (Barbell)",,"",0,"normal",130.01,8,,,
"Push Day!","20 Mar 2026, 08:09","20 Mar 2026, 09:11","","Bench Press (Barbell)",,"",1,"normal",130.01,8,,,
